code;parent;fr;nl;de;alt_fr;alt_nl;alt_de;start;end;exactmatch1
065;;Groupement européen d'intérêt économique;Europees economisch samenwerkingsverband;Europäische wirtschaftliche Interessenvereinigung;GEIE;EESV;EWIV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/065
070;;Association des copropriétaires;Vereniging van mede-eigenaars;Miteigentümervereinigung;ACP;VME;MEV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/070
106;;Société coopérative à responsabilité illimitée de droit public;Coöperatieve vennootschap met onbeperkte aansprakelijkheid van publiek recht;Öffentlich-rechtliche Genossenschaft mit unbeschränkter Haftung;SCRI DPU;CVOA PR;ÖffrGmuH;01/01/1800;01/07/1996;
107;;Coopérative à responsabilité illimitée, coopérative de participation, de droit public;Coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming van publiek recht;Öffentlich-rechtliche Genossenschaft mit unbeschränkter Haftung, Genossenschaft auf Beteiligung;SCRI CP;CVOA CD;GmuHGB;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/107
108;;Société coopérative à responsabilité limitée de droit public;Coöperatieve vennootschap met beperkte aansprakelijkheid van publiek recht;Öffentlich-rechtliche Genossenschaft mit beschränkter Haftung;SCRL DPU;CVBA PR;ÖfrGmbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/108
109;;Société coopérative à responsabilité limitée, coopérative de participation, de droit public;Coöperatieve vennootschap met beperkte aansprakelijkheid, bij wijze van deelneming, van publiek recht;Öffentlich-rechtliche Genossenschaft mit beschränkter Haftung, Genossenschaft auf Beteiligung;SCRL CP;CVBA CD;GbHGB;01/01/1800;01/07/1996;
110;;État, Province, Région, Communauté;Rijk, Provincie, Gewest, Gemeenschap;Staat, Provinz, Region, Gemeinschaft;EPRC;RPGG;SPRG;01/01/1800;30/06/2003;
114;;Société anonyme de droit public;Naamloze vennootschap van publiek recht;Öffentlich-rechtliche Aktiengesellschaft;SA DPU;NV PR;Ö.-r.AG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/114
116;;Société coopérative de droit public (ancien statut);Coöperatieve vennootschap van publiek recht (oud statuut);Öffentlich-rechtliche Genossenschaft (frühere Rechtsform);SC DPU;CV PR;ÖfrGfrü;01/01/1800;30/10/1993;
117;;Association sans but lucratif de droit public;Vereniging zonder winstoogmerk van publiek recht;Öffentlich-rechtliche Vereinigung ohne Gewinnerzielungsabsicht;ASBL DPU;VZW PR;ÖrVohGza;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/117
